CourseNo,CourseName,CourseTeacher,ChooseStudent,Restrict1,Node
TCG033301,文藝發展與流行音樂文化,馬世芳,139,140,MA-MB-MC
TCG046301,性別與社會福利,郭育吟,85,86,W3-W4
MIG001301,資訊科學導論,陳文川,50,51,FA-FB-FC
GE3727301,臺灣庶民生活史,陳世榮,50,51,W6-W7
GE3602301,古典希臘的思想與文化,何珮瑩,49,51,F3-F4
GE3909303,醫學與生活,趙國芳,51,57,F1-F2
GE3401301,憲法,劉公昭,51,57,M6-M7
GE3402301,政黨政治與民主發展,劉公昭,51,57,M8-M9
GE3407301,國際現勢,鄭大誠,51,57,T8-T9
GE3605302,智慧財產權法概要,陳丁章,51,57,F1-F2
GE3709302,歷史與文明的變遷,何思瞇,51,57,W3-W4
GE3710301,近代東亞視覺與文化史,張世瑛,51,57,W6-W7
GE3710302,近代東亞視覺與文化史,張世瑛,51,57,W8-W9
GE3714301,中國與東亞文明史,王瑞傑,51,57,F6-F7
GE3714302,中國與東亞文明史,王瑞傑,51,57,F8-F9
GE3709301,歷史與文明的變遷,何思瞇,51,57,W1-W2
GE3909306,醫學與生活,趙國芳,51,57,F3-F4
GE3719302,人類文明起源史,趙潤昌,51,57,T6-T7
GE3903302,邏輯思考概論,林景銘,51,57,T8-T9
GE3901301,哲學與人生,林景銘,51,57,T6-T7
GE3729302,數位藝術設計,張博智,50,57,R8-R9
GE3729301,數位藝術設計,張博智,49,57,R6-R7
GE3900301,藝術賞析,盧廷清,51,60,T8-T9
GE3604301,性別與法律,張宏誠,51,60,F6-F7
GE3725301,消費者保護法,林瑞珠,51,60,R3-R4
GE1515301,國際文化交流實務,王瑩,43,51,F3-F4
TCG048301,雜誌編輯與學習,梁欣如,42,50,W10-W9
GE3612301,網際網路與法律,林瑞珠,90,110,R6-R7
TCG110302,永續發展與社會 (一),黃淑怡,39,50,T6-T7
3NG303701,博物館探索,黃玫瑄,2,3,W6-W7
TCG109301,公民記者初階與實務,林郁君,32,50,S3-S4
3NG312701,舞蹈鑑賞,王宏豪,3,5,T6-T7-T8
TCG114301,管樂合奏,林祐生,30,50,MB-MC
GE3724302,近代中國史與文創運用,吳淑鳳,32,57,W8-W9
GE3907301,管理概論,賴明政,51,95,R1-R2
GE3907302,管理概論,賴明政,51,95,R3-R4
3NG124702,音樂鑑賞,陳惠齡,1,2,T3-T4
GE3724301,近代中國史與文創運用,吳淑鳳,27,57,W6-W7
3NG315701,植物與人生,王震哲,2,5,W3-W4
3NG316701,臺灣文化導覽,許慧如 莊佳穎 林巾力 陳玉箴 劉承賢,1,3,M8-M9
3TG047701,探索臺灣：女性與臺灣社會,郭任,1,3,M3-M4
3TG076701,國會與憲政民主,劉有恒,1,3,T6-T7
3NG115701,科技倫理,劉啟民,1,3,F6-F7
3NG304701,宇宙中的生命與太空環境,橋本康弘,6,30,W6-W7
3TG080701,臺灣近代史,歐素瑛,1,10,F8-F9
3NG299701,星星月亮太陽－天文漫談,橋本康弘,1,25,W3-W4
3TG079701,海峽兩岸關係史一,李君山,0,5,F3-F4
HCG009301,運動傷害評估與治療學,林儀佳,0,30,M8-M9
3NG292701,臺灣流行文化,莊佳穎,0,3,W6-W7
3TG085701,音樂產業理論與實務,陳峙維,0,3,T2-T3-T4
3NG297701,認識臺灣的原住民,陳永龍,0,5,R3-R4
3NG300701,環境倫理與永續發展,張子超,0,5,W6-W7
3TG084701,臺灣音樂導論,陳峙維,0,3,T7-T8-T9
TCG062301,東南亞社會與文化,王麗蘭,0,50,W6-W7
3TG083701,職場倫理與職場精神,洪英正,0,6,M7-M8-M9
3NG307701,中國經典文學閱讀：古典與現代,王思韻,0,5,W6-W7
3NG311701,東南亞文化與歷史概略,廖弘民,0,1,R6-R7
TCG105302,幸福心理學,張雅涵,0,50,M8-M9
TCG105301,幸福心理學,張雅涵,0,50,M6-M7
3TG081701,香港的歷史與文化,陳俊強,0,5,R7-R8-R9
TCG073301,群眾生活中的科技議題,紀寰緯,0,50,WA-WB
3TG079702,海峽兩岸關係史一,李君山,0,5,T6-T7
3TG052701,探索臺灣:臺灣電影與臺灣社會,郭任,0,3,M8-M9
TCG090301,唐宋詩詞賞玩,鄧昭瑞,0,30,R8-R9
3TG059701,探索臺灣:自然環境與資源,袁孝維,0,3,W8-W9
3TG063701,歐洲啟蒙運動中的政治與社會性,陳禹仲,0,2,M3-M4
3TG065701,探索臺灣：自然資源保育與經營管理,劉奇璋,0,10,R6-R7
3TG070701,臺灣歷史與人物,歐素瑛,0,10,F6-F7
3TG077701,議事學,劉有恒,0,3,T8-T9
3TG082701,性別、歷史與臺灣小說,張俐璇,0,1,R6-R7-R8
